Date : 2025-07-29 19:24:31
Directory : /home/jon/repos/charlie-reporting
Total : 339 files,  32343 codes, 6671 comments, 9041 blanks, all 48055 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |        274 |     23,136 |      6,550 |      6,015 |     35,701 |
| Markdown         |         48 |      8,711 |          0 |      2,892 |     11,603 |
| Shell Script     |          2 |        179 |         36 |         41 |        256 |
| pip requirements |          7 |         77 |         62 |         54 |        193 |
| Ini              |          2 |         72 |          0 |          7 |         79 |
| PowerShell       |          1 |         53 |          8 |          9 |         70 |
| JSON             |          1 |         52 |          0 |          0 |         52 |
| Batch            |          3 |         45 |          6 |         13 |         64 |
| Docker           |          1 |         18 |          9 |         10 |         37 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        339 |     32,343 |      6,671 |      9,041 |     48,055 |
| . (Files)                                                                                                                 |          9 |        657 |         18 |        260 |        935 |
| archive                                                                                                                   |         60 |      6,524 |      1,040 |      1,265 |      8,829 |
| archive/debug                                                                                                             |          5 |        126 |         28 |         44 |        198 |
| archive/demos                                                                                                             |          2 |        104 |         22 |         33 |        159 |
| archive/deprecated                                                                                                        |         50 |      6,125 |        979 |      1,142 |      8,246 |
| archive/deprecated (Files)                                                                                                |          2 |        531 |        108 |        137 |        776 |
| archive/deprecated/phase1-demos                                                                                           |         48 |      5,594 |        871 |      1,005 |      7,470 |
| archive/deprecated/phase1-demos (Files)                                                                                   |          1 |        166 |          0 |         40 |        206 |
| archive/deprecated/phase1-demos/demos                                                                                     |          6 |      1,382 |        183 |        294 |      1,859 |
| archive/deprecated/phase1-demos/run_scripts                                                                               |         41 |      4,046 |        688 |        671 |      5,405 |
| archive/deprecated/phase1-demos/run_scripts (Files)                                                                       |         21 |      1,021 |        206 |        209 |      1,436 |
| archive/deprecated/phase1-demos/run_scripts/data_generation                                                               |          1 |        295 |         53 |         81 |        429 |
| archive/deprecated/phase1-demos/run_scripts/debugging                                                                     |          1 |         72 |         18 |         19 |        109 |
| archive/deprecated/phase1-demos/run_scripts/email_senders                                                                 |         14 |      2,437 |        315 |        303 |      3,055 |
| archive/deprecated/phase1-demos/run_scripts/email_senders (Files)                                                         |          4 |        295 |         51 |         51 |        397 |
| archive/deprecated/phase1-demos/run_scripts/email_senders/archive                                                         |         10 |      2,142 |        264 |        252 |      2,658 |
| archive/deprecated/phase1-demos/run_scripts/testing                                                                       |          4 |        221 |         96 |         59 |        376 |
| archive/migration                                                                                                         |          3 |        169 |         11 |         46 |        226 |
| docs                                                                                                                      |         33 |      6,996 |          0 |      2,257 |      9,253 |
| docs (Files)                                                                                                              |          7 |      1,211 |          0 |        463 |      1,674 |
| docs/architecture                                                                                                         |          9 |      2,677 |          0 |        522 |      3,199 |
| docs/deliverables                                                                                                         |          6 |        874 |          0 |        431 |      1,305 |
| docs/phase-plans                                                                                                          |          4 |        866 |          0 |        298 |      1,164 |
| docs/project-wiki                                                                                                         |          2 |        290 |          0 |        134 |        424 |
| docs/sprint-reviews                                                                                                       |          5 |      1,078 |          0 |        409 |      1,487 |
| legacy_backup                                                                                                             |          9 |      1,129 |        496 |        364 |      1,989 |
| legacy_backup/20250728_235459                                                                                             |          9 |      1,129 |        496 |        364 |      1,989 |
| legacy_backup/20250728_235459/src                                                                                         |          9 |      1,129 |        496 |        364 |      1,989 |
| logs                                                                                                                      |          1 |         52 |          0 |          0 |         52 |
| scripts                                                                                                                   |         15 |      2,459 |        437 |        606 |      3,502 |
| services                                                                                                                  |        167 |      8,667 |      2,657 |      2,870 |     14,194 |
| services (Files)                                                                                                          |          1 |         32 |          0 |         17 |         49 |
| services/database-service                                                                                                 |         26 |        213 |        108 |        111 |        432 |
| services/database-service (Files)                                                                                         |          2 |         43 |          6 |         21 |         70 |
| services/database-service/scripts                                                                                         |          1 |         37 |          5 |          9 |         51 |
| services/database-service/src                                                                                             |         18 |        127 |         87 |         74 |        288 |
| services/database-service/src (Files)                                                                                     |          2 |         55 |         16 |         22 |         93 |
| services/database-service/src/business                                                                                    |         10 |         47 |         59 |         38 |        144 |
| services/database-service/src/business (Files)                                                                            |          1 |          0 |          1 |          1 |          2 |
| services/database-service/src/business/models                                                                             |          5 |         32 |         33 |         21 |         86 |
| services/database-service/src/business/services                                                                           |          4 |         15 |         25 |         16 |         56 |
| services/database-service/src/config                                                                                      |          2 |         25 |          8 |         10 |         43 |
| services/database-service/src/infrastructure                                                                              |          1 |          0 |          1 |          1 |          2 |
| services/database-service/src/interfaces                                                                                  |          3 |          0 |          3 |          3 |          6 |
| services/database-service/src/interfaces (Files)                                                                          |          1 |          0 |          1 |          1 |          2 |
| services/database-service/src/interfaces/cli                                                                              |          1 |          0 |          1 |          1 |          2 |
| services/database-service/src/interfaces/rest                                                                             |          1 |          0 |          1 |          1 |          2 |
| services/database-service/tests                                                                                           |          5 |          6 |         10 |          7 |         23 |
| services/database-service/tests (Files)                                                                                   |          2 |          6 |          7 |          5 |         18 |
| services/database-service/tests/api                                                                                       |          1 |          0 |          1 |          0 |          1 |
| services/database-service/tests/integration                                                                               |          1 |          0 |          1 |          1 |          2 |
| services/database-service/tests/unit                                                                                      |          1 |          0 |          1 |          1 |          2 |
| services/email-service                                                                                                    |         27 |        706 |        186 |        263 |      1,155 |
| services/email-service (Files)                                                                                            |          3 |        314 |         43 |         81 |        438 |
| services/email-service/scripts                                                                                            |          1 |         37 |          5 |          9 |         51 |
| services/email-service/src                                                                                                |         23 |        355 |        138 |        173 |        666 |
| services/email-service/src (Files)                                                                                        |          2 |         55 |         16 |         22 |         93 |
| services/email-service/src/business                                                                                       |          9 |         39 |         51 |         33 |        123 |
| services/email-service/src/business (Files)                                                                               |          1 |          0 |          1 |          1 |          2 |
| services/email-service/src/business/models                                                                                |          4 |         24 |         25 |         16 |         65 |
| services/email-service/src/business/services                                                                              |          4 |         15 |         25 |         16 |         56 |
| services/email-service/src/config                                                                                         |          2 |         25 |          8 |         10 |         43 |
| services/email-service/src/infrastructure                                                                                 |          1 |          0 |          1 |          1 |          2 |
| services/email-service/src/interfaces                                                                                     |          3 |          0 |          3 |          3 |          6 |
| services/email-service/src/interfaces (Files)                                                                             |          1 |          0 |          1 |          1 |          2 |
| services/email-service/src/interfaces/cli                                                                                 |          1 |          0 |          1 |          1 |          2 |
| services/email-service/src/interfaces/rest                                                                                |          1 |          0 |          1 |          1 |          2 |
| services/email-service/src/tests                                                                                          |          6 |        236 |         59 |        104 |        399 |
| services/email-service/src/tests (Files)                                                                                  |          3 |        236 |         56 |        102 |        394 |
| services/email-service/src/tests/api                                                                                      |          1 |          0 |          1 |          0 |          1 |
| services/email-service/src/tests/integration                                                                              |          1 |          0 |          1 |          1 |          2 |
| services/email-service/src/tests/unit                                                                                     |          1 |          0 |          1 |          1 |          2 |
| services/outlook-relay                                                                                                    |         24 |        648 |        220 |        271 |      1,139 |
| services/outlook-relay (Files)                                                                                            |          3 |         63 |         15 |         40 |        118 |
| services/outlook-relay/config                                                                                             |          2 |         25 |          8 |         10 |         43 |
| services/outlook-relay/scripts                                                                                            |          1 |         37 |          5 |          9 |         51 |
| services/outlook-relay/src                                                                                                |         15 |        256 |        116 |        102 |        474 |
| services/outlook-relay/src (Files)                                                                                        |          2 |         55 |         16 |         22 |         93 |
| services/outlook-relay/src/business                                                                                       |          9 |        201 |         96 |         76 |        373 |
| services/outlook-relay/src/business (Files)                                                                               |          1 |          0 |          1 |          1 |          2 |
| services/outlook-relay/src/business/models                                                                                |          4 |         87 |         35 |         29 |        151 |
| services/outlook-relay/src/business/services                                                                              |          4 |        114 |         60 |         46 |        220 |
| services/outlook-relay/src/infrastructure                                                                                 |          1 |          0 |          1 |          1 |          2 |
| services/outlook-relay/src/interfaces                                                                                     |          3 |          0 |          3 |          3 |          6 |
| services/outlook-relay/src/interfaces (Files)                                                                             |          1 |          0 |          1 |          1 |          2 |
| services/outlook-relay/src/interfaces/cli                                                                                 |          1 |          0 |          1 |          1 |          2 |
| services/outlook-relay/src/interfaces/rest                                                                                |          1 |          0 |          1 |          1 |          2 |
| services/outlook-relay/tests                                                                                              |          3 |        267 |         76 |        110 |        453 |
| services/outlook-relay/tests (Files)                                                                                      |          2 |        267 |         75 |        109 |        451 |
| services/outlook-relay/tests/integration                                                                                  |          1 |          0 |          1 |          1 |          2 |
